         612 function calls (607 primitive calls) in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/_internal/_fields.py:356(is_valid_field_name)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:392(asarray)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_set_output.py:187(supported_outputs)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/scipy/sparse/_base.py:1513(issparse)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:232(__getattr__)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:655(_ensure_no_complex_data)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       21    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:674(formatMessage)
       20    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:462(format)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:301(_use_interchange_protocol)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:968(acquire)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:668(usesTime)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:170(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:455(_format)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:822(indexing_dtype)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/warnings.py:505(__exit__)
        6    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:447(usesTime)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:975(release)
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:713(_is_extension_array_dtype)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/warnings.py:458(__init__)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/validation.py:665(_check_estimator_name)
        5    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/utils/_array_api.py:306(_check_device_cpu)
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/sklearn/pipeline.py:333(_final_estimator)
        6    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/threading.py:1485(current_thread)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:129(getLevelName)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:383(getMessage)
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:831(filter)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/threading.py:1182(name)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:426(__init__)
        2    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:195(_reshape_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/multiprocessing/process.py:189(name)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/pydantic/main.py:1042(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/multiarray.py:1393(may_share_memory)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/site-packages/numpy/core/fromnumeric.py:91(_take_dispatcher)
        1    0.000    0.000    0.000    0.000 /Users/aaditnagori/anaconda3/envs/alldigital/lib/python3.12/multiprocessing/process.py:37(current_process)


